Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2018-07-31,2680,2717,2661.3,2700.7,2697.696804,54318,3130,146533495,17499,32.22,55.7,20.7
2018-07-30,2680,2699,2657.2,2668.95,2676.912939,41626,2603,111429178,12459,29.93,41.8,-11.05
2018-07-27,2640,2687.95,2631.65,2678.05,2666.547451,56100,4015,149593312,14852,26.47,56.3,38.05
2018-07-26,2654.8,2667.3,2604,2619.25,2633.498828,86571,6482,227984627,27273,31.5,63.3,-35.55
2018-07-25,2680,2698,2624.05,2638.8,2667.085773,82683,6058,220522653,26650,32.23,73.95,-41.2
2018-07-24,2685,2724,2616,2650.8,2671.13433,210593,15556,562522192,41038,19.49,108,-34.2
2018-07-23,2849.75,2854,2658.65,2689.1,2715.531519,231369,13771,628289812,49651,21.46,195.35,-160.65
2018-07-20,3119.1,3152.45,2820,2841.1,2948.324857,327045,19205,964234903,57775,17.67,332.45,-278
2018-07-19,3123.95,3142.45,3097.7,3112.8,3116.135535,56657,2203,176550891,20107,35.49,44.75,-11.15
2018-07-18,3103.4,3161.95,3100,3105.05,3124.640621,136516,2720,426563439,95173,69.72,61.95,1.65
2018-07-17,3115.9,3125.95,3082.55,3095.25,3096.809788,71089,2029,220149111,48150,67.73,43.4,-20.65
2018-07-16,3139,3165,3095,3101.75,3126.058846,28464,1918,88980139,3368,11.83,70,-37.25
2018-07-13,3124.95,3147.9,3060.05,3134,3095.567028,58267,2519,180369404,17313,29.71,87.85,9.05
2018-07-12,3188,3213.95,3075,3101.9,3131.112614,67958,3399,212784151,7695,11.32,138.95,-86.1
2018-07-11,3098.9,3165,3056.6,3154.35,3139.949746,88053,4672,276481995,27537,31.27,108.4,55.45
2018-07-10,3042.3,3113,3034.35,3089.05,3084.44177,136460,3759,420902924,70542,51.69,78.65,46.75
2018-07-09,3060,3081,2996.45,3017.95,3030.416338,60595,2359,183628078,25472,42.04,84.55,-42.05
2018-07-06,2979,3076,2964.15,3023.35,3041.096525,284911,5785,866441852,198476,69.66,111.85,44.35
2018-07-05,2944,2990.7,2913.7,2969.8,2949.418962,37464,2764,110497032,8753,23.36,77,25.8
2018-07-04,2873,2989,2859.35,2978.2,2940.384342,60735,3394,178584243,18420,30.33,129.65,105.2
2018-07-03,2840.05,2879.05,2839.3,2865.05,2865.828999,19573,1483,56092871,4297,21.95,39.75,25
2018-07-02,2811,2910,2811,2839.15,2870.55716,59272,4235,170143664,13172,22.22,99,28.15
2018-06-29,2735,2827.75,2726.05,2811.15,2783.132238,29326,1948,81618136,8375,28.56,101.7,76.15
2018-06-28,2792,2794.55,2705,2718.2,2744.953781,19148,1802,52560375,6840,35.72,89.55,-73.8
2018-06-27,2818,2822.95,2750,2765.45,2780.462807,14559,1489,40480758,4623,31.75,72.95,-52.55
2018-06-26,2804.25,2822.5,2789.05,2809.75,2808.359804,14255,1248,40033169,4606,32.31,33.45,5.5
2018-06-25,2835,2839,2794.9,2799.6,2809.10011,50904,2493,142994432,33537,65.88,44.1,-35.4
2018-06-22,2855,2855,2808,2830.75,2824.131334,35718,1779,100872323,22624,63.34,47,-24.25
2018-06-21,2875.05,2875.65,2826.35,2832.95,2857.556383,103346,922,295317022,96199,93.08,49.3,-42.1
2018-06-20,2873,2879,2859.5,2873.3,2871.047481,110338,1059,316785637,98403,89.18,19.5,0.3
2018-06-19,2892,2892.05,2842,2849.4,2852.595758,54027,982,154117191,40895,75.69,50.05,-42.6
2018-06-18,2882.55,2937,2866,2901.9,2903.495708,67217,3402,195164271,37702,56.09,71,19.35
2018-06-15,2904,2904,2854,2873.75,2878.07052,19810,970,57014577,4529,22.86,50,-30.25
2018-06-14,2899,2910,2880,2890.2,2891.135812,20926,992,60499908,12125,57.94,30,-8.8
2018-06-13,2906,2935,2893,2908.3,2917.028945,30230,1283,88181785,7715,25.52,42,2.3
2018-06-12,2884,2912.5,2870.15,2886.95,2897.572846,25794,1482,74739994,11473,44.48,42.35,2.95
2018-06-11,2894,2913.5,2874,2882,2897.034356,27186,1422,78758776,11141,40.98,39.5,-12
2018-06-08,2888,2899.9,2868.15,2875.4,2879.000628,11150,1012,32100857,3856,34.58,31.75,-12.6
2018-06-07,2908.9,2936.35,2867,2889,2900.862671,36955,2519,107201380,7778,21.05,69.35,-19.9
2018-06-06,2860.9,2948.6,2835,2884.55,2896.851508,129515,3781,375185723,79107,61.08,113.6,23.65
2018-06-05,2890,2891,2837.1,2844.15,2858.649608,25911,1391,74070470,8334,32.16,53.9,-45.85
2018-06-04,2929,2929,2870,2876.6,2895.494819,50667,2486,146706036,14109,27.85,59,-52.4
2018-06-01,2777,2944.15,2777,2893.25,2875.589322,139618,8719,401484030,40963,29.34,167.15,116.25
2018-05-31,2775,2785.45,2731.1,2752.15,2750.964409,19106,829,52559926,11528,60.34,54.35,-22.85
2018-05-30,2810,2810,2756.95,2763.1,2771.052784,12428,1020,34438644,4483,36.07,53.05,-46.9
2018-05-29,2822,2833,2766,2794,2795.960182,16902,1956,47257319,4189,24.78,67,-28
2018-05-28,2786.3,2813.5,2761.25,2791.25,2792.591041,8974,849,25060712,2629,29.3,52.25,4.95
2018-05-25,2768.05,2775.55,2730.4,2759.85,2752.720607,12520,1023,34464062,3127,24.98,45.15,-8.2
2018-05-24,2775.8,2813.3,2725,2736.7,2749.777172,19082,1756,52471248,5736,30.06,88.3,-39.1
2018-05-23,2815.1,2830,2762.4,2775.8,2786.281254,21237,1876,59172255,5635,26.53,67.6,-39.3
2018-05-22,2725,2825,2725,2811.25,2796.459024,43037,4700,120351207,10026,23.3,100,86.25
2018-05-21,2775,2777,2705.25,2719.9,2742.790972,22686,1637,62222956,5830,25.7,71.75,-55.1
2018-05-18,2844,2942.05,2701.1,2777.5,2838.427115,132571,7398,376293121,29473,22.23,240.95,-66.5
2018-05-17,2843.8,2843.8,2791,2819.15,2817.113131,10068,642,28362695,4060,40.33,52.8,-24.65
2018-05-16,2826.95,2827.65,2787.65,2808.25,2805.327339,12290,1015,34477473,3808,30.98,40,-18.7
2018-05-15,2818,2873.4,2808,2827.8,2838.243583,41608,1028,118093639,32717,78.63,65.4,9.8
2018-05-14,2839,2850,2805.05,2834.7,2834.471912,12799,572,36278406,7502,58.61,44.95,-4.3
2018-05-11,2829,2836.8,2800,2816.45,2813.579642,9618,802,27061009,3887,40.41,36.8,-12.55
2018-05-10,2880,2889.6,2823,2827.8,2842.787863,18917,1306,53777018,7739,40.91,66.6,-52.2
2018-05-09,2884.05,2901.7,2866.7,2874.25,2876.73856,21569,494,62048374,16789,77.84,35,-9.8
2018-05-08,2942.65,2942.65,2885,2891.75,2900.450029,10246,651,29718011,4098,40,57.65,-50.9
2018-05-07,2875.2,2941.4,2875.2,2917.05,2923.692683,14132,1132,41317625,6935,49.07,66.2,41.85
2018-05-04,2998,2998,2874.7,2890.5,2909.179094,19191,1141,55830056,5954,31.02,123.3,-107.5
2018-05-03,2969.75,2987.6,2956.1,2971.9,2970.774134,7531,621,22372900,2036,27.03,31.5,2.15
2018-05-02,2982,3183.8,2947.5,2965.25,2999.557091,28078,1982,84221564,4001,14.25,236.3,-16.75
2018-04-30,2957.05,2976.35,2932,2948,2953.583696,8734,562,25796600,2284,26.15,44.35,-9.05
2018-04-27,2894.45,2956,2894.45,2936.8,2934.743715,19451,1123,57083700,8742,44.94,61.55,42.35
2018-04-26,2929,2929,2870,2886.1,2894.410348,14495,913,41954478,4642,32.02,59,-42.9
2018-04-25,2882.8,2908.25,2868,2899.9,2894.833411,10709,748,31000771,2739,25.58,40.25,17.1
2018-04-24,2856,2895,2850,2889.75,2882.770948,9046,649,26077546,2935,32.45,45,33.75
2018-04-23,2853.6,2875.55,2821.75,2854.05,2850.202969,5321,505,15165930,1661,31.22,53.8,0.45
2018-04-20,2855,2870.7,2806,2853.6,2834.658831,8125,639,23031603,2133,26.25,64.7,-1.4
2018-04-19,2855,2860,2845,2855.1,2853.932114,5303,417,15134402,1781,33.58,15,0.1
2018-04-18,2878,2878,2853.75,2862.65,2866.030576,13409,712,38430604,8389,62.56,24.25,-15.35
2018-04-17,2855.7,2875,2844,2863,2860.753017,19973,1735,57137820,8631,43.21,31,7.3
2018-04-16,2800,2847,2776.25,2839.8,2819.879715,21474,1544,60554097,8773,40.85,70.75,39.8
2018-04-13,2772,2805,2758.15,2789.4,2798.234694,65204,944,182456095,55731,85.47,46.85,17.4
2018-04-12,2777,2779.5,2756.05,2764.15,2761.089885,36591,1593,101031040,24760,67.67,23.45,-12.85
2018-04-11,2783,2800,2750.65,2755.4,2759.187347,24991,1213,68954851,16167,64.69,49.35,-27.6
2018-04-10,2782.95,2825,2761.2,2767,2781.957424,152129,1032,423216401,142153,93.44,63.8,-15.95
2018-04-09,2785,2804.4,2760.65,2770.45,2784.5581,10525,809,29307474,4734,44.98,43.75,-14.55
2018-04-06,2815,2823.65,2776,2783.05,2786.55267,37887,1315,105574121,25562,67.47,47.65,-31.95
2018-04-05,2790,2827,2775,2810.55,2798.492625,17492,1315,48951233,9364,53.53,52,20.55
2018-04-04,2790,2815.35,2747,2766.35,2779.235812,16369,1539,45493311,5607,34.25,68.35,-23.65
2018-04-03,2785,2824.35,2781,2791.75,2800.504681,9186,751,25725436,2330,25.36,43.35,6.75
2018-04-02,2765,2820,2750.05,2808.6,2791.964076,14280,1053,39869247,2616,18.32,69.95,43.6
2018-03-28,2775,2796.1,2737.5,2748.9,2766.749425,13924,1495,38524219,5016,36.02,58.6,-26.1
2018-03-27,2850,2852,2796.05,2803.2,2814.462098,19524,2428,54949558,8383,42.94,55.95,-46.8
2018-03-26,2771,2858,2735.15,2839.15,2806.171967,21632,1533,60703112,5750,26.58,122.85,68.15
2018-03-23,2813.9,2814,2748,2789.75,2769.178353,21592,2602,59792099,7499,34.73,66,-24.15
2018-03-22,2854,2880,2768.25,2842.05,2838.851255,19846,1852,56339842,4319,21.76,111.75,-11.95
2018-03-21,2875,2888.15,2840,2853.6,2872.712917,12627,1319,36273746,4971,39.37,48.15,-21.4
2018-03-20,2855,2886.45,2837.95,2873.55,2876.86876,11879,740,34174324,4333,36.48,48.5,18.55
2018-03-19,2912,2924.8,2844,2853.8,2870.464832,12938,725,37138074,7150,55.26,80.8,-58.2
2018-03-16,2949.1,2954.95,2892.65,2912.2,2923.173976,9714,897,28395712,3068,31.58,62.3,-36.9
2018-03-15,2946,2971.5,2935,2949.1,2960.588169,15907,561,47094076,3989,25.08,36.5,3.1
2018-03-14,2967,2967,2935.65,2948.85,2947.854965,11480,959,33841375,3738,32.56,31.35,-18.15
2018-03-13,2975,3001,2960,2974.15,2980.41076,14164,1139,42214538,3323,23.46,41,-0.85
2018-03-12,2966.6,2972.8,2933.15,2960.05,2958.725127,28475,1025,84249698,18330,64.37,39.65,-6.55
2018-03-09,2912,2965.2,2912,2938.05,2940.676096,16014,1138,47091987,8089,50.51,53.2,26.05
2018-03-08,2940.4,2947.85,2893.1,2924.65,2919.195869,8230,630,24024982,2243,27.25,54.75,-15.75
2018-03-07,2892,2939.95,2876.1,2910.45,2914.874296,12792,1070,37287072,2962,23.16,63.85,18.45
2018-03-06,2960,2976,2886.95,2899.9,2942.366055,13416,1085,39474783,3379,25.19,89.05,-60.1
2018-03-05,3025,3025,2929,2942.1,2955.386827,19722,1576,58286139,5456,27.66,96,-82.9
2018-03-01,3049.6,3077.4,3017.65,3025,3049.649569,22829,1799,69620450,4950,21.68,59.75,-24.6
2018-02-28,3010,3052.7,2994,3018.8,3026.711889,8108,715,24540580,2631,32.45,58.7,8.8
2018-02-27,3010,3057,3010,3033.85,3037.793202,13003,1288,39500425,3936,30.27,47,23.85
2018-02-26,3024,3043.75,3000.6,3007.2,3016.287366,9079,650,27384873,2880,31.72,43.15,-16.8
2018-02-23,2975,3004,2960.05,2988,2983.904484,27629,1423,82442297,11603,42,43.95,13
2018-02-22,3044,3044,2956.35,2971,2987.656605,8448,863,25239723,2940,34.8,87.65,-73
2018-02-21,3055,3075.6,3000,3008.25,3026.315008,13060,957,39523674,4441,34,75.6,-46.75
2018-02-20,3035.6,3067.35,3015.6,3049.65,3054.923418,13097,542,40010332,7446,56.85,51.75,14.05
2018-02-19,3081,3111.55,3014.6,3039.85,3064.202489,12855,926,39390323,1738,13.52,96.95,-41.15
2018-02-16,3169,3169,3096.4,3102.95,3116.871042,9538,702,29728716,2723,28.55,72.6,-66.05
2018-02-15,3158,3164,3099.65,3140.6,3134.518195,6403,514,20070320,1626,25.39,64.35,-17.4
2018-02-14,3187,3187,3100,3110.85,3126.960467,10953,749,34249598,2603,23.77,87,-76.15
2018-02-12,3124.75,3160,3108,3143.35,3133.893752,9619,729,30144924,2250,23.39,52,18.6
2018-02-09,3140,3140.4,3095.15,3103.5,3116.862048,6727,564,20967131,2458,36.54,45.25,-36.5
