Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2018-07-31,28575,28600,27758.75,27820.95,27992.86026,2154,636,60296621,986,45.78,841.25,-754.05
2018-07-30,29067.9,29067.9,28475,28570.35,28595.6033,910,311,26021999,158,17.36,592.9,-497.55
2018-07-27,28500,29045,28234.35,28963.8,28921.66374,4437,600,128325422,3539,79.76,810.65,463.8
2018-07-26,27526.9,28892,27499.65,28266.7,28236.15391,2469,988,69715064,710,28.76,1392.35,739.8
2018-07-25,27800,27926.45,27112.3,27346.2,27583.86535,1010,401,27859704,260,25.74,814.15,-453.8
2018-07-24,26950,27815,26870.05,27700.8,27567.94138,1177,485,32447467,506,42.99,944.95,750.8
2018-07-23,27800,27800,26889.5,26999.55,27029.56659,916,380,24759083,378,41.27,910.5,-800.45
2018-07-20,26966.45,27199,26802,27052.4,26999.99897,970,460,26189999,399,41.13,397,85.95
2018-07-19,27414,27414,26850,26982,27156.43175,630,253,17108552,247,39.21,564,-432
2018-07-18,27217,27680,27160.1,27262.5,27471.7752,863,360,23708142,247,28.62,519.9,45.5
2018-07-17,27420,27431.75,27001.05,27215.95,27150.18008,6175,885,167652362,5181,83.9,430.7,-204.05
2018-07-16,27600,27728.95,27051.05,27392.55,27417.62374,792,339,21714758,265,33.46,677.9,-207.45
2018-07-13,28130.05,28179.95,27531.4,27601.3,27633.42135,1424,650,39349992,530,37.22,648.55,-528.75
2018-07-12,28288.4,28288.95,27950,28020.35,28066.76066,1032,438,28964897,421,40.79,338.95,-268.05
2018-07-11,28285,28597.4,28088.1,28178.25,28392.56511,1221,564,34667322,567,46.44,509.3,-106.75
2018-07-10,27802.95,28399,27700,28280.7,28070.96416,1646,663,46204807,809,49.15,699,477.75
2018-07-09,28200,28200,27644,27686.6,27784.65942,24731,479,687142412,489,1.98,556,-513.4
2018-07-06,27960,28200,27455.25,27586,27830.91938,2729,1068,75950579,1147,42.03,744.75,-374
2018-07-05,28272.05,28317,27900,27962.1,28013.13344,1289,421,36108929,502,38.94,417,-309.95
2018-07-04,28181,28350,28059.45,28256.75,28242.59457,1142,367,32253043,528,46.23,290.55,75.75
2018-07-03,28235.05,28372.35,28050,28102.7,28184.1875,560,229,15783145,164,29.29,322.35,-132.35
2018-07-02,29000,29000,27900,28200.5,28156.00764,2226,755,62675273,905,40.66,1100,-799.5
2018-06-29,28646.35,28795.3,28425,28560.8,28575.85184,3422,461,97786565,2991,87.41,370.3,-85.55
2018-06-28,28290,28510.95,27736.5,28373.55,28081.12774,12972,1048,364268389,11013,84.9,774.45,83.55
2018-06-27,29139,29139,28289.6,28371.3,28611.8129,1876,780,53675761,709,37.79,849.4,-767.7
2018-06-26,29493.45,29547.15,28983,29090.05,29251.41881,1010,405,29543933,493,48.81,564.15,-403.4
2018-06-25,29303.4,29700,29155.05,29436.1,29447.13743,1026,473,30212763,362,35.28,544.95,132.7
2018-06-22,29353.1,29398.35,28905.1,29154.65,29102.47365,1537,789,44730502,645,41.96,493.25,-198.45
2018-06-21,30012.15,30012.15,29412,29492.5,29598.63624,734,347,21725399,242,32.97,600.15,-519.65
2018-06-20,29930,30153.75,29650,29764.05,29905.5361,554,260,16567667,146,26.35,503.75,-165.95
2018-06-19,29935.75,30099.95,29600,29962.3,29847.91019,579,291,17281940,219,37.82,499.95,26.55
2018-06-18,29572.25,30238,29432.6,30125.05,30015.07188,1600,828,48024115,678,42.38,805.4,552.8
2018-06-15,29489.35,29650,29289,29506.4,29479.46331,954,357,28123408,336,35.22,361,17.05
2018-06-14,29348.2,29559,29152.35,29531.55,29374.95207,772,266,22677463,185,23.96,406.65,183.35
2018-06-13,29400,29525,29300,29382.8,29459.8941,15657,253,461253562,10357,66.15,225,-17.2
2018-06-12,29700.05,29961.9,29152.35,29225.2,29458.60036,1644,684,48429939,660,40.15,809.55,-474.85
2018-06-11,29590.1,29787,29539,29639.85,29665.79004,462,211,13705595,78,16.88,248,49.75
2018-06-08,29548.65,29888,29307.9,29560.35,29460.94385,837,356,24658810,298,35.6,580.1,11.7
2018-06-07,30210.35,30216.3,29532.3,29667.2,29872.72511,884,396,26407489,297,33.6,684,-543.15
2018-06-06,29740,30020.75,29220,29895.5,29748.34043,987,412,29361612,261,26.44,800.75,155.5
2018-06-05,29429,29527.65,29076.3,29261.65,29263.23824,1595,734,46674865,562,35.24,451.35,-167.35
2018-06-04,30333,30333,29309.05,29382.2,29775.78335,24607,1070,732692701,23259,94.52,1023.95,-950.8
2018-06-01,30500.1,30582.5,29369.3,29788.8,29872.52281,3376,1844,100849637,751,22.25,1213.2,-711.3
2018-05-31,30500,31424.65,30150,30647.25,30558.44828,2233,780,68237015,684,30.63,1274.65,147.25
2018-05-30,30146.25,30969.05,30000,30239.35,30176.12436,587,264,17713385,173,29.47,969.05,93.1
2018-05-29,30630,30747,30312.6,30492.95,30575.83433,501,238,15318493,115,22.95,434.4,-137.05
2018-05-28,30222.75,30735,30111.3,30636.75,30634.50607,741,395,22700169,226,30.5,623.7,414
2018-05-25,29649.45,30248.7,29649.45,30103.3,29991.44608,1020,565,30591275,289,28.33,599.25,453.85
