Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2018-07-31,3210,3303.45,3190.05,3293.8,3265.725379,33883,2563,110652573,11830,34.91,113.4,83.8
2018-07-30,3181.6,3227.05,3180,3205,3200.875142,16707,1485,53477021,4757,28.47,47.05,23.4
2018-07-27,3157.85,3230,3136.3,3193.8,3197.872751,44181,3350,141285216,10820,24.49,93.7,35.95
2018-07-26,3052.1,3187.65,3052.1,3137.7,3121.66264,66721,6350,208280453,14685,22.01,135.55,85.6
2018-07-25,3141.85,3199,3071.1,3111.95,3131.932761,72265,6086,226329121,14414,19.95,127.9,-29.9
2018-07-24,3185.6,3208,3037.1,3101.45,3125.607389,115799,7913,361942210,39044,33.72,170.9,-84.15
2018-07-23,3385.1,3385.1,3094,3163.9,3185.098191,112067,8915,356944399,26604,23.74,291.1,-221.2
2018-07-20,3462,3489.75,3323,3373.15,3386.703753,48095,3435,162883517,14610,30.38,166.75,-88.85
2018-07-19,3510,3510,3446.05,3458.9,3476.422062,9129,968,31736257,3630,39.76,63.95,-51.1
2018-07-18,3505,3514.8,3476.7,3501.5,3496.565759,9626,866,33657942,3018,31.35,38.1,-3.5
2018-07-17,3415,3510,3400,3479.55,3472.458734,30061,3518,104385582,11025,36.68,110,64.55
2018-07-16,3470,3471,3415,3423.85,3430.500863,9851,1100,33793864,3949,40.09,56,-46.15
2018-07-13,3505,3520,3439,3460.6,3468.942752,18219,1251,63200668,6227,34.18,81,-44.4
2018-07-12,3551,3576.95,3485,3498.05,3540.605271,76982,2959,272562875,10882,14.14,91.95,-52.95
2018-07-11,3552.05,3579.4,3526.15,3540.7,3542.256731,33615,2025,119072960,11726,34.88,53.25,-11.35
2018-07-10,3629.25,3695,3570.5,3592.15,3597.199321,28266,2366,101678436,11205,39.64,124.5,-37.1
2018-07-09,3690,3690,3608.3,3622.2,3635.429442,16249,1254,59072093,6170,37.97,81.7,-67.8
2018-07-06,3518,3665,3489.65,3636.7,3623.324731,43205,3745,156545745,14828,34.32,175.35,118.7
2018-07-05,3484.65,3517.2,3458.95,3502.7,3495.256527,13176,1752,46053500,4905,37.23,58.25,18.05
2018-07-04,3450,3480,3417.4,3468.45,3453.082628,12163,1060,41999844,2664,21.9,62.6,18.45
2018-07-03,3450,3483.8,3444,3453.5,3463.925651,15871,1241,54975964,3456,21.78,39.8,3.5
2018-07-02,3819,3819,3394.8,3413.6,3464.623499,22478,1866,77877807,5919,26.33,424.2,-405.4
2018-06-29,3528.6,3531,3460,3472.05,3491.975913,11002,1365,38418719,4775,43.4,71,-56.55
2018-06-28,3522.2,3545.3,3476.6,3513.85,3507.894747,15135,1745,53091987,6327,41.8,68.7,-8.35
2018-06-27,3609,3609,3522.05,3538.05,3544.682764,34230,1984,121334491,25597,74.78,86.95,-70.95
2018-06-26,3573,3577.1,3536.45,3567.6,3556.57797,12120,1516,43105725,3925,32.38,40.65,-5.4
2018-06-25,3640.1,3640.1,3571.05,3585.15,3588.944878,14731,1656,52868747,5190,35.23,69.05,-54.95
2018-06-22,3620,3650.05,3602.15,3640.1,3628.845605,13174,1467,47806412,4502,34.17,47.9,20.1
2018-06-21,3660,3673.7,3621,3631.55,3647.575417,8274,557,30180039,1614,19.51,52.7,-28.45
2018-06-20,3655,3675.6,3643.9,3658.05,3657.294064,8726,568,31913548,1859,21.3,31.7,3.05
2018-06-19,3671,3671,3625.5,3655.65,3645.309184,9331,632,34014380,2052,21.99,45.5,-15.35
2018-06-18,3676.4,3698.2,3655.05,3668.7,3674.164523,12442,776,45713955,2547,20.47,43.15,-7.7
2018-06-15,3720.6,3720.6,3655,3689.15,3678.528003,19748,686,72643571,11234,56.89,65.6,-31.45
2018-06-14,3694.75,3706.75,3632.95,3684.1,3688.937792,15641,528,57698676,10719,68.53,73.8,-10.65
2018-06-13,3672.05,3715,3672.05,3698.9,3697.37291,21174,689,78288174,15916,75.17,42.95,26.85
2018-06-12,3612.05,3715,3602.55,3688.75,3656.47124,23661,1571,86515766,11606,49.05,112.45,76.7
2018-06-11,3676,3677.4,3602.5,3612.55,3623.708185,9554,589,34620908,3723,38.97,74.9,-63.45
2018-06-08,3650,3655,3608,3634.4,3631.743103,8844,706,32119136,3512,39.71,47,-15.6
2018-06-07,3660,3680,3629.25,3657.05,3652.817974,13531,1338,49426280,4710,34.81,50.75,-2.95
2018-06-06,3622.75,3652,3599.1,3638.9,3620.700233,174789,1038,632858573,166181,95.08,52.9,16.15
2018-06-05,3612,3629,3569,3608.65,3583.063371,425354,1123,1524070337,418119,98.3,60,-3.35
2018-06-04,3641,3678.05,3599.75,3612,3627.666778,18012,1633,65341534,4318,23.97,78.3,-29
2018-06-01,3547,3633.25,3547,3623.75,3608.90159,21258,1876,76718030,2604,12.25,86.25,76.75
2018-05-31,3575,3620.9,3500,3547.25,3550.875645,24213,1790,85977352,10332,42.67,120.9,-27.75
2018-05-30,3613.1,3624,3530.1,3606.85,3584.844746,9346,965,33503959,2102,22.49,93.9,-6.25
2018-05-29,3660,3660,3565.6,3612.35,3599.785157,9095,782,32740046,3277,36.03,94.4,-47.65
2018-05-28,3556.1,3621.85,3538.45,3596.85,3586.723517,8883,1007,31860865,2022,22.76,83.4,40.75
2018-05-25,3473.15,3573.3,3464.7,3550.7,3545.19691,22914,962,81234642,14600,63.72,108.6,77.55
2018-05-24,3487.6,3500.8,3451.15,3486.25,3472.740228,19444,905,67523961,12350,63.52,49.65,-1.35
2018-05-23,3480,3486.95,3453,3482.15,3477.286627,6102,833,21218403,2850,46.71,33.95,2.15
2018-05-22,3465,3520,3410,3509.3,3498.880301,19407,1209,67902770,7042,36.29,110,44.3
2018-05-21,3570,3573.3,3470,3495,3499.929189,25208,1683,88226215,14243,56.5,103.3,-75
2018-05-18,3549.75,3567.45,3538.35,3561.75,3556.431257,9361,1728,33291753,5132,54.82,29.1,12
2018-05-17,3597,3686,3535.9,3554.45,3558.396906,13187,1303,46924580,4915,37.27,150.1,-42.55
2018-05-16,3617.1,3635,3500,3576.4,3554.390379,18938,2000,67313045,4601,24.3,135,-40.7
2018-05-15,3646.35,3661.75,3635,3653.25,3652.141313,60971,1394,222674708,50192,82.32,26.75,6.9
2018-05-14,3645,3657.5,3620.6,3649.35,3647.816026,110222,1142,402069578,103647,94.03,36.9,4.35
2018-05-11,3630.3,3643.5,3592.95,3616.15,3610.66115,61331,868,221445459,55239,90.07,50.55,-14.15
2018-05-10,3655.15,3664,3625.45,3643.25,3644.572537,18563,1604,67654200,6323,34.06,38.55,-11.9
2018-05-09,3670,3685.55,3638.05,3657.35,3659.329302,121560,3145,444828070,105666,86.92,47.5,-12.65
2018-05-08,3652.85,3674.4,3645,3656.65,3658.104174,10684,821,39083185,5103,47.76,29.4,3.8
2018-05-07,3650,3675,3625.85,3655.05,3668.329858,70315,1041,257938614,63661,90.54,49.15,5.05
2018-05-04,3657,3669.95,3648.05,3659.8,3659.800876,58004,665,212283090,55337,95.4,21.9,2.8
2018-05-03,3670,3683,3640,3657.1,3663.701885,13478,1530,49379374,4792,35.55,43,-12.9
2018-05-02,3769,3775,3642.1,3662.3,3707.669335,41468,4439,153749632,10985,26.49,132.9,-106.7
2018-04-30,3728.7,3748.45,3717.5,3733.7,3731.604856,8731,614,32580642,4838,55.41,30.95,5
2018-04-27,3786.6,3786.6,3703.5,3715,3744.756821,36286,996,135882246,27725,76.41,83.1,-71.6
2018-04-26,3718.15,3785,3660,3756.9,3710.33234,11410,1515,42334892,4508,39.51,125,38.75
2018-04-25,3755,3755,3703.05,3717.9,3719.379531,60356,1039,224486871,51947,86.07,51.95,-37.1
2018-04-24,3770,3770,3710,3719.6,3721.700145,5506,524,20491681,2077,37.72,60,-50.4
2018-04-23,3744.8,3744.8,3695,3717.75,3712.493803,6132,617,22765012,2277,37.13,49.8,-27.05
2018-04-20,3733.9,3778.6,3695,3744.8,3732.278502,8359,659,31198116,4132,49.43,83.6,10.9
2018-04-19,3755.1,3766.65,3712.75,3729.25,3738.08252,6144,541,22966779,1078,17.55,53.9,-25.85
2018-04-18,3786.65,3862,3730,3741.95,3755.00168,7141,727,26814467,2479,34.72,132,-44.7
2018-04-17,3820.95,3820.95,3760,3770,3782.39824,4319,432,16336178,1054,24.4,60.95,-50.95
2018-04-16,3750,3809,3721.6,3798.05,3790.110317,13860,969,52530929,3612,26.06,87.4,48.05
2018-04-13,3766,3769.65,3700.05,3729.5,3711.830659,38266,1016,142036912,33654,87.95,69.6,-36.5
2018-04-12,3758.6,3782.75,3731.1,3745.7,3752.975668,5877,704,22056238,1724,29.33,51.65,-12.9
2018-04-11,3750,3760,3686,3728.8,3702.739787,78843,709,291935113,71843,91.12,74,-21.2
2018-04-10,3800,3813,3704.05,3720.8,3733.362434,31065,1478,115976904,23947,77.09,108.95,-79.2
2018-04-09,3789,3804,3760.35,3788.3,3793.11492,6622,729,25118007,2206,33.31,43.65,-0.7
2018-04-06,3800,3800,3750.6,3782.4,3774.860969,11947,872,45098264,4433,37.11,49.4,-17.6
2018-04-05,3699,3800,3696,3784.15,3748.280896,34390,4341,128903380,10354,30.11,104,85.15
2018-04-04,3665,3693,3636.35,3669.95,3671.556936,28734,1761,105498517,16619,57.84,56.65,4.95
2018-04-03,3654,3684.6,3624.95,3640.3,3641.089057,89392,2025,325484233,70209,78.54,59.65,-13.7
2018-04-02,3510,3652,3510,3640.65,3591.415329,16139,1537,57961852,2576,15.96,142,130.65
2018-03-28,3450,3575,3440.05,3545.5,3511.037667,19354,1709,67952623,4186,21.63,134.95,95.5
2018-03-27,3528.6,3528.6,3440,3465.85,3463.281296,28774,1657,99652456,19250,66.9,88.6,-62.75
2018-03-26,3415,3491.9,3366.5,3481,3424.461726,16016,1556,54846179,6165,38.49,125.4,66
2018-03-23,3461,3461,3353.75,3414.65,3402.508175,147091,1965,500478330,133908,91.04,107.25,-46.35
2018-03-22,3472.35,3486.35,3440,3454.85,3459.802973,10227,1160,35383405,3151,30.81,46.35,-17.5
2018-03-21,3530,3530,3460,3469.35,3489.78971,72690,2697,253672814,57956,79.73,70,-60.65
2018-03-20,3510,3594,3500,3513.25,3513.899683,5682,787,19965978,2290,40.3,94,3.25
2018-03-19,3555,3555.7,3438.85,3512.4,3508.923444,15936,1276,55918204,6363,39.93,116.85,-42.6
2018-03-16,3643.5,3652.8,3529.35,3546.05,3587.423613,13052,1853,46823053,5818,44.58,123.45,-97.45
2018-03-15,3628.1,3686.7,3628.1,3643.2,3655.401983,9784,1041,35764453,2746,28.07,58.6,15.1
2018-03-14,3688,3688,3625.2,3635.45,3644.792248,9030,878,32912474,2877,31.86,62.8,-52.55
2018-03-13,3690,3728,3682,3701.3,3700.080863,9312,1039,34455153,2327,24.99,46,11.3
2018-03-12,3600,3709.8,3600,3685.8,3650.956149,14709,1270,53701914,5408,36.77,109.8,85.8
2018-03-09,3600,3665.45,3581.05,3587,3625.296474,16875,1471,61176878,3555,21.07,84.4,-13
2018-03-08,3562.45,3597.3,3543.2,3585.65,3568.27649,6427,806,22933313,3613,56.22,54.1,23.2
2018-03-07,3555.05,3571,3515.75,3562.1,3545.942398,15937,1838,56511684,10271,64.45,55.25,7.05
2018-03-06,3580,3594.75,3538.15,3569.9,3574.761611,15869,905,56727892,9123,57.49,56.6,-10.1
2018-03-05,3599.9,3599.9,3536.4,3557.6,3555.657908,40492,1977,143975700,27259,67.32,63.5,-42.3
2018-03-01,3620,3630,3566.1,3579.45,3578.40073,7399,597,26476587,3498,47.28,63.9,-40.55
2018-02-28,3553,3615.9,3539.3,3600.55,3596.007139,11907,1177,42817657,4715,39.6,76.6,47.55
2018-02-27,3586,3600,3545.7,3587.95,3576.39383,7780,832,27824344,2870,36.89,54.3,1.95
2018-02-26,3509.25,3549.95,3509.25,3540.35,3538.573458,14498,961,51302238,8295,57.21,40.7,31.1
2018-02-23,3450,3505.6,3450,3498.65,3488.753663,8805,715,30718476,2931,33.29,55.6,48.65
2018-02-22,3508.9,3508.9,3463.2,3482.35,3480.927592,9405,789,32738124,4507,47.92,45.7,-26.55
2018-02-21,3498.6,3508.05,3460.6,3490.4,3486.117374,12507,913,43600870,8470,67.72,47.45,-8.2
2018-02-20,3480.45,3516.65,3445.35,3483.9,3491.851693,31846,1721,111201509,21689,68.11,71.3,3.45
2018-02-19,3500,3514.4,3441.75,3460.15,3473.619924,9235,969,32078880,3332,36.08,72.65,-39.85
2018-02-16,3533.05,3557.85,3480,3493.1,3516.859299,10270,982,36118145,4370,42.55,77.85,-39.95
2018-02-15,3580,3580,3522,3533.15,3548.06069,11221,957,39812789,4378,39.02,58,-46.85
2018-02-14,3621,3626.9,3569.55,3599.85,3599.134163,10681,947,38442352,3544,33.18,57.35,-21.15
2018-02-12,3530.1,3658.45,3530.1,3619.35,3603.349757,17475,2619,62968537,8822,50.48,128.35,89.25
2018-02-09,3546,3577,3533,3546.05,3553.43548,9532,1949,33871347,4518,47.4,44,0.05
2018-02-08,3586.6,3615.7,3558.4,3585.25,3592.006179,15859,2094,56965626,7393,46.62,57.3,-1.35
2018-02-07,3606,3799.9,3546,3564.3,3579.724419,21246,1955,76054825,7141,33.61,253.9,-41.7
2018-02-06,3598,3598,3475,3542.65,3528.356522,21850,3335,77094590,5499,25.17,123,-55.35
2018-02-05,3624,3690,3388,3634.05,3590.49576,29012,3481,104167463,11400,39.29,302,10.05
2018-02-02,3734.4,3753.5,3615.05,3623.65,3680.306929,55951,4477,205916853,39789,71.11,138.45,-110.75
2018-02-01,3720,3743.95,3694.85,3734.4,3725.758037,22458,3270,83673074,8830,39.32,49.1,14.4
2018-01-31,3686.05,3745.5,3685.55,3691.6,3710.121493,22314,3471,82787651,7332,32.86,59.95,5.55
2018-01-30,3660,3697,3655,3688.5,3675.4261,22084,3290,81168110,8363,37.87,42,28.5
2018-01-29,3550.3,3654,3523.95,3640,3602.424624,20736,4218,74699877,10358,49.95,130.05,89.7
2018-01-25,3641.15,3656.2,3550,3569.6,3587.583545,19265,2589,69114797,7792,40.45,106.2,-71.55
2018-01-24,3606,3646.35,3600.05,3640.5,3627.486232,11367,1455,41233636,3123,27.47,46.3,34.5
2018-01-23,3585.1,3632.5,3585.1,3623.1,3622.125515,12389,1197,44874513,4253,34.33,47.4,38
2018-01-22,3603.2,3620,3589.9,3602.8,3605.007325,8191,641,29528615,2826,34.5,30.1,-0.4
2018-01-19,3592.2,3613,3555.05,3590.75,3577.672456,9327,1053,33368951,3277,35.13,57.95,-1.45
2018-01-18,3575.05,3642,3575.05,3592.2,3610.442979,36171,1045,130593333,25256,69.82,66.95,17.15
2018-01-17,3618.95,3618.95,3530,3566.05,3537.960205,225307,2539,797127200,212301,94.23,88.95,-52.9
