Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2018-07-31,1350,1370.05,1335,1365,1348.844537,2863072,11533,3861839027,2584785,90.28,35.05,15
2018-07-30,1385,1385,1350,1353.15,1357.531589,1592102,3836,2161328758,1530021,96.1,35,-31.85
2018-07-27,1380,1388.3,1370,1374.55,1377.446777,1266384,3332,1744376559,1202236,94.93,18.3,-5.45
2018-07-26,1380,1389.7,1369,1375.2,1384.203781,894575,3795,1238274097,825824,92.31,20.7,-4.8
2018-07-25,1380,1392.1,1366.1,1383.7,1382.509857,192554,6957,266207803,59462,30.88,26,3.7
2018-07-24,1362,1379.8,1356.5,1376,1368.759058,113488,4283,155337728,32699,28.81,23.3,14
2018-07-23,1350.1,1368.05,1336.7,1355.75,1351.34673,130280,3960,176053452,28699,22.03,31.35,5.65
2018-07-20,1321.05,1367.05,1321.05,1348.35,1352.097405,816448,8815,1103917222,92523,11.33,46,27.3
2018-07-19,1322.4,1330.3,1310.85,1316.55,1318.631877,116146,4704,153153818,39532,34.04,19.45,-5.85
2018-07-18,1340,1343.2,1314.35,1322.4,1323.635954,184669,5154,244434528,61494,33.3,28.85,-17.6
2018-07-17,1332.7,1348.8,1313.5,1327.4,1333.148633,266227,7887,354920161,70379,26.44,35.3,-5.3
2018-07-16,1325,1384.4,1288.35,1333.05,1345.631129,959431,29572,1291040220,178388,18.59,96.05,8.05
2018-07-13,1310,1331.35,1300.15,1309.1,1310.360844,1105721,13084,1448893503,112035,10.13,31.2,-0.9
2018-07-12,1324,1326.7,1284.6,1294.6,1300.768454,494965,14793,643834858,184262,37.23,42.1,-29.4
2018-07-11,1310,1341.9,1293,1320.35,1317.36858,299143,8928,394081589,55946,18.7,48.9,10.35
2018-07-10,1305.2,1315.5,1295,1302.5,1305.33367,136779,6252,178542234,47688,34.87,20.5,-2.7
2018-07-09,1292.55,1303,1279.5,1299.15,1294.259864,148420,4028,192094049,44403,29.92,23.5,6.6
2018-07-06,1280,1301.35,1269.5,1284.5,1281.987671,198957,6373,255060421,44166,22.2,31.85,4.5
2018-07-05,1349.8,1350,1268.85,1284.5,1287.522106,457269,15352,588743946,200665,43.88,81.15,-65.3
2018-07-04,1353,1354.95,1339.7,1344.6,1345.35761,65988,2287,88777458,18113,27.45,15.25,-8.4
2018-07-03,1340,1358,1333.3,1353.65,1346.731093,137330,4698,184946581,52889,38.51,24.7,13.65
2018-07-02,1313.9,1341.8,1313.9,1334.45,1325.234574,120951,4919,160288447,37593,31.08,27.9,20.55
2018-06-29,1295.2,1313.45,1284,1306.75,1297.961062,118623,5715,153968035,43961,37.06,29.45,11.55
2018-06-28,1269.2,1298.2,1269.2,1288.85,1290.750941,98334,3579,126924703,29000,29.49,29,19.65
2018-06-27,1281.15,1293.9,1264.3,1269.2,1281.287578,100585,3513,128878311,39082,38.85,29.6,-11.95
2018-06-26,1269.9,1283.8,1260,1277.85,1278.194924,76989,2807,98406949,33739,43.82,23.8,7.95
2018-06-25,1250,1278.95,1250,1272.3,1271.741615,145403,6131,184915046,73993,50.89,28.95,22.3
2018-06-22,1245.5,1254,1241.8,1246.45,1248.798628,39355,1338,49146470,12807,32.54,12.2,0.95
2018-06-21,1250,1255.8,1237.45,1246.35,1247.420918,50694,1772,63236756,19682,38.83,18.35,-3.65
2018-06-20,1245,1252.45,1239.1,1243.35,1246.319377,55126,2076,68704602,18899,34.28,13.35,-1.65
2018-06-19,1266,1266,1236,1244.05,1246.035104,104975,3251,130802535,31936,30.42,30,-21.95
2018-06-18,1285,1290.5,1262.3,1266.5,1272.965122,90832,2918,115625968,27662,30.45,28.2,-18.5
2018-06-15,1238.7,1290,1237,1280.45,1269.059558,194266,6833,246535124,80259,41.31,53,41.75
2018-06-14,1259,1259,1234.05,1238.7,1243.796084,149758,7717,186268414,59766,39.91,24.95,-20.3
2018-06-13,1265,1284,1261,1276.1,1276.477765,112907,4148,144123275,49839,44.14,23,11.1
2018-06-12,1265,1270.85,1250.9,1258.4,1259.869122,109216,4314,137597866,37078,33.95,19.95,-6.6
2018-06-11,1259.75,1270,1256,1263.05,1262.144337,68721,1892,86735821,19946,29.02,14,3.3
