Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2018-07-31,1943.6,1948.5,1929.05,1941.25,1934.69992,89586,7227,173322027,46685,52.11,19.45,-2.35
2018-07-30,1948.55,1955.3,1935,1944.95,1943.436436,96383,5887,187314234,28663,29.74,20.3,-3.6
2018-07-27,1965,1966.8,1940,1943.1,1948.06556,132170,7148,257475825,67227,50.86,26.8,-21.9
2018-07-26,1975,1985.05,1955.55,1963.3,1969.395512,83737,4277,164911272,38383,45.84,29.5,-11.7
2018-07-25,2000.15,2003,1971,1979.4,1979.679562,91325,5758,180794236,34064,37.3,32,-20.75
2018-07-24,2009.05,2012,1987,1996.85,1996.799151,59826,3756,119460506,17730,29.64,25,-12.2
2018-07-23,2000,2008.85,1991.2,2005.05,2005.096092,86334,4188,173107966,36751,42.57,17.65,5.05
2018-07-20,1983.05,2000,1983,1995.95,1993.201882,62274,3603,124124654,21386,34.34,17,12.9
2018-07-19,1999,2009.95,1970.55,1981.45,1984.886419,83227,4013,165196142,25400,30.52,39.4,-17.55
2018-07-18,2005.5,2009.9,1993,1997.3,1999.583665,78031,3924,156029513,27822,35.66,16.9,-8.2
2018-07-17,1988,2005.45,1982,1997.85,1994.73091,117890,5198,235158827,38259,32.45,23.45,9.85
2018-07-16,1985.05,1996,1978.4,1988.8,1988.295691,112080,5663,222848181,39625,35.35,17.6,3.75
2018-07-13,1975,1998,1975,1981.25,1983.594125,975624,8702,1935242035,801754,82.18,23,6.25
2018-07-12,1984,1992,1961.5,1971,1972.8067,602500,13828,1188616037,359504,59.67,30.5,-13
2018-07-11,1900,1995,1894,1979.6,1956.985751,1157363,44817,2264942900,294374,25.43,101,79.6
2018-07-10,1895.2,1900,1872.6,1877,1882.593829,433180,18579,815501995,209864,48.45,27.4,-18.2
2018-07-09,1927.95,1930,1882,1887.65,1890.654934,374551,11215,708146696,206640,55.17,48,-40.3
2018-07-06,1882.8,1920.3,1880,1913.3,1908.633958,211358,8164,403405056,98826,46.76,40.3,30.5
2018-07-05,1875.2,1887,1864,1881.7,1876.180947,110452,5257,207227938,46388,42,23,6.5
2018-07-04,1879,1880,1860.1,1869.65,1867.083848,138775,9587,259104561,80734,58.18,19.9,-9.35
2018-07-03,1859.95,1880,1858,1875.9,1873.289814,163967,7300,307157711,73061,44.56,22,15.95
2018-07-02,1829.95,1859.95,1829.95,1855.6,1854.448336,151420,8013,280800567,80437,53.12,30,25.65
2018-06-29,1846,1868,1843,1847.2,1851.531448,229631,12213,425169018,106610,46.43,25,1.2
2018-06-28,1865,1872,1830.15,1847.3,1848.326227,333642,14288,616679259,142048,42.57,41.85,-17.7
2018-06-27,1859.8,1886.2,1852,1859.8,1871.340698,474432,14800,887823910,268177,56.53,34.2,0
2018-06-26,1821,1862,1821,1852.7,1835.951335,1065791,20665,1956740409,893456,83.83,41,31.7
2018-06-25,1812,1824,1809,1820.45,1817.883832,215085,8218,390999544,104621,48.64,15,8.45
2018-06-22,1828.8,1829,1803.25,1811.8,1812.412921,200191,7852,362828755,102497,51.2,25.75,-17
2018-06-21,1830,1834,1818,1819.85,1823.608036,184984,6940,337338309,93180,50.37,16,-10.15
2018-06-20,1833,1836.6,1823,1826.3,1830.429298,204010,7939,373425881,108644,53.25,13.6,-6.7
2018-06-19,1822.65,1839.6,1822,1825.85,1830.897325,721683,10297,1321327474,567882,78.69,17.6,3.2
2018-06-18,1869,1870.7,1825.5,1830.7,1842.329529,522045,18725,961778919,287279,55.03,45.2,-38.3
2018-06-15,1801,1849,1791,1841.45,1821.934282,765529,21913,1394743529,261573,34.17,58,40.45
2018-06-14,1839,1840,1785,1792.25,1800.052805,313381,11016,564102348,117180,37.39,55,-46.75
2018-06-13,1815,1832,1800,1824.2,1818.652461,353957,13670,643724769,150466,42.51,32,9.2
2018-06-12,1756,1784.95,1753.5,1781,1777.008884,152861,3699,271635355,81891,53.57,31.45,25
2018-06-11,1747,1763.45,1742.8,1750.6,1754.686657,58160,2353,102052576,17988,30.93,20.65,3.6
2018-06-08,1736,1757.5,1736,1748.2,1748.526947,402906,2729,704491998,358186,88.9,21.5,12.2
2018-06-07,1725.4,1748.5,1725.4,1734.6,1736.940214,118908,3443,206536087,54478,45.82,23.1,9.2
2018-06-06,1724.7,1735.3,1716.3,1727.25,1727.473192,383083,2970,661765613,20663,5.39,19,2.55
2018-06-05,1745,1752.6,1713.45,1721.2,1728.826239,104701,6539,181009836,37823,36.12,39.15,-23.8
2018-06-04,1751.7,1752,1712.9,1744.55,1729.900103,242609,4871,419689334,157883,65.08,39.1,-7.15
2018-06-01,1758,1760,1719,1732.25,1743.049277,117215,4209,204311521,39157,33.41,41,-25.75
2018-05-31,1742.3,1758.7,1726.1,1744.8,1745.766127,156722,9289,273599959,57663,36.79,32.6,2.5
2018-05-30,3520,3532.5,3484.6,3517.75,3510.475552,77285,4455,271307103,27662,35.79,47.9,-2.25
2018-05-29,3512,3549.5,3491.1,3522.7,3518.337506,102881,5450,361970081,31461,30.58,58.4,10.7
2018-05-28,3601.1,3618,3488,3503.8,3523.004066,131580,8147,463556875,30550,23.22,130,-97.3
