Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2018-07-31,520.75,520.75,507.35,517.45,515.9609111,344062,2626,177522543,233599,67.89,13.4,-3.3
2018-07-30,527,528.75,511,513.65,513.2858052,1083808,3068,556303262,976880,90.13,17.75,-13.35
2018-07-27,530,531.05,523.4,526.1,526.6294284,83946,1707,44208434,12081,14.39,7.65,-3.9
2018-07-26,541.9,541.9,518.25,524.85,527.6123872,116330,3485,61377149,26732,22.98,23.65,-17.05
2018-07-25,551,551,535.6,540.5,540.5515706,59055,2328,31922273,9033,15.3,15.4,-10.5
2018-07-24,540,554.8,530.4,551.85,544.6677248,119082,3436,64860122,16455,13.82,24.4,11.85
2018-07-23,564,564,524.25,540.3,537.8702432,180584,5449,97130760,22633,12.53,39.75,-23.7
2018-07-20,562.45,569,561,564.4,564.9753526,36515,1018,20630075,3112,8.52,8,1.95
2018-07-19,568,575.5,561.65,563.7,566.9987931,30658,915,17383049,6402,20.88,13.85,-4.3
2018-07-18,575.25,577.9,560.8,568.7,570.0012513,46352,1008,26420698,7406,15.98,17.1,-6.55
2018-07-17,568,579.95,564.75,572.85,573.2475074,46839,1044,26850340,5316,11.35,15.2,4.85
2018-07-16,583.05,589,563.6,571.4,581.6414695,70418,1792,40958029,6273,8.91,25.4,-11.65
2018-07-13,580.05,585.05,569,583,577.8227139,47460,1391,27423466,8318,17.53,16.05,2.95
2018-07-12,583,592.05,575.35,578.4,585.5469641,57150,1490,33464009,9234,16.16,16.7,-4.6
2018-07-11,584.3,588.35,578,579.25,580.7137371,379113,2366,220156127,205630,54.24,10.35,-5.05
2018-07-10,595.75,595.75,583,585.95,588.4761902,197272,2858,116089875,8252,4.18,12.75,-9.8
2018-07-09,579,594,579,589.5,589.5614856,60689,1222,35779897,8561,14.11,15,10.5
2018-07-06,570,587.25,567.05,577.45,581.2393987,61337,1567,35651481,7396,12.06,20.2,7.45
2018-07-05,586,586,565.05,570.25,573.7159458,36486,893,20932600,4349,11.92,20.95,-15.75
2018-07-04,561.5,584.3,560.6,581.1,573.2684645,57922,1337,33204856,9173,15.84,23.7,19.6
2018-07-03,553.3,564.5,552.8,559.45,559.7172738,37913,1017,21220561,4736,12.49,11.7,6.15
2018-07-02,570,570.5,550.4,556.4,558.8413005,114449,2552,63958828,9501,8.3,20.1,-13.6
2018-06-29,560,562.1,548.5,552.3,552.8110412,62638,2092,34626978,13164,21.02,13.6,-7.7
2018-06-28,564.9,573.2,553.1,556.65,559.160916,61877,1606,34599200,12483,20.17,20.1,-8.25
2018-06-27,581,584.5,560.75,568.6,576.2927643,38683,1325,22292733,9901,25.6,23.75,-12.4
2018-06-26,597,597,581.25,585.85,588.2249494,57284,1707,33695878,7992,13.95,15.75,-11.15
2018-06-25,579.5,604,579.5,597.4,597.7674574,109266,2378,65315659,17443,15.96,24.5,17.9
2018-06-22,580.5,585.15,576.95,582.6,582.2845433,24766,588,14420859,6185,24.97,8.2,2.1
2018-06-21,584.8,589.95,575.6,580.25,580.7923924,71139,2257,41316990,23165,32.56,14.35,-4.55
2018-06-20,583.05,590,578.45,585.15,585.2715079,28257,921,16538017,7043,24.92,11.55,2.1
2018-06-19,594,598.5,583.55,590.7,588.6436699,57385,1010,33779317,14407,25.11,14.95,-3.3
2018-06-18,588,600.7,588,594.45,594.9559154,70206,1413,41769475,14874,21.19,12.7,6.45
2018-06-15,584.4,591,577.1,581.75,584.0091265,31885,672,18621131,6425,20.15,13.9,-2.65
2018-06-14,576.5,587.95,568.95,584.4,576.9697785,34578,668,19950461,9059,26.2,19,7.9
2018-06-13,589,589,573.6,576.4,579.6390872,18492,704,10718686,5639,30.49,15.4,-12.6
2018-06-12,584.95,587,578.4,581.5,582.355162,19256,532,11213831,5892,30.6,8.6,-3.45
2018-06-11,585,593.25,577.85,584.05,587.1051075,65590,990,38508224,13193,20.11,15.4,-0.95
2018-06-08,579.9,584.1,569.35,580.2,576.5854207,47149,695,27185426,7735,16.41,14.75,0.3
